latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
22.20425,75.93801,308.51,1.31,1.13,2022-01-24,0518,T,64,6.1NRT,292.93,8.26,D
22.20273,75.95056,306.37,1.3,1.13,2022-01-24,0518,T,47,6.1NRT,292.93,6.37,D
22.20462,75.94473,308.58,1.3,1.13,2022-01-24,0518,T,0,6.1NRT,293.27,8.06,D
21.28157,76.72012,307.36,1.16,1.07,2022-01-24,0518,T,40,6.1NRT,293.85,5.6,D
21.43402,74.51204,305.66,1.57,1.24,2022-01-24,0518,T,32,6.1NRT,292.86,6.44,D
21.4005,74.79194,332.96,1.5,1.21,2022-01-24,0518,T,87,6.1NRT,295.42,53.55,D
21.39876,74.80634,330.37,1.5,1.21,2022-01-24,0518,T,85,6.1NRT,294.69,47.27,D
20.40065,74.91774,311.95,1.43,1.18,2022-01-24,0518,T,65,6.1NRT,295.18,11.55,D
20.1097,76.15629,308.14,1.2,1.09,2022-01-24,0518,T,46,6.1NRT,295.19,6.7,D
19.70642,74.7406,309.39,1.44,1.19,2022-01-24,0518,T,57,6.1NRT,295.87,9.32,D
19.70062,74.74712,310.65,1.44,1.19,2022-01-24,0518,T,61,6.1NRT,295.63,10.16,D
19.37732,77.04125,307.72,1.08,1.04,2022-01-24,0518,T,47,6.1NRT,295.02,4.36,D
19.59545,74.99026,308.49,1.38,1.16,2022-01-24,0518,T,50,6.1NRT,294.67,7.21,D
19.31451,77.15558,308.62,1.07,1.03,2022-01-24,0518,T,53,6.1NRT,295.29,4.49,D
19.58502,74.9889,308.74,1.38,1.16,2022-01-24,0518,T,55,6.1NRT,294.54,7.23,D
19.2494,77.43364,318.62,1.05,1.02,2022-01-24,0518,T,70,6.1NRT,294.93,13.07,D
19.24802,77.44347,318.99,1.04,1.02,2022-01-24,0518,T,70,6.1NRT,295.06,13.37,D
19.22154,77.49953,314.81,1.04,1.02,2022-01-24,0518,T,68,6.1NRT,295.01,9.43,D
19.59805,74.57408,308.12,1.47,1.2,2022-01-24,0518,T,54,6.1NRT,294.18,8.54,D
19.17842,77.0817,320.78,1.07,1.03,2022-01-24,0518,T,76,6.1NRT,296.04,15.34,D
19.17703,77.09175,311.63,1.07,1.03,2022-01-24,0518,T,62,6.1NRT,295.37,6.68,D
18.72173,79.54033,311.49,1.02,1.01,2022-01-24,0518,T,58,6.1NRT,297.78,4.98,D
18.89396,77.66878,307.4,1.03,1.01,2022-01-24,0518,T,46,6.1NRT,294.09,3.7,D
19.33568,72.02721,310.12,2.23,1.45,2022-01-24,0518,T,25,6.1NRT,289.42,23.82,D
18.43218,78.06902,317.96,1.01,1,2022-01-24,0518,T,73,6.1NRT,298.17,9.51,D
17.88228,80.85256,308.6,1.15,1.07,2022-01-24,0518,T,54,6.1NRT,296.7,4.28,D
17.8806,80.86321,327.83,1.15,1.07,2022-01-24,0518,T,63,6.1NRT,297.79,25.96,D
18.20057,78.13933,311.55,1,1,2022-01-24,0518,T,58,6.1NRT,296.42,5.81,D
17.78193,79.83737,308.71,1.05,1.02,2022-01-24,0518,T,49,6.1NRT,297.42,4.44,D
14.06021,101.35143,342.99,1.21,1.09,2022-01-24,0654,A,91,6.1NRT,307.54,46.11,D
14.05872,101.34032,330.3,1.21,1.09,2022-01-24,0654,A,79,6.1NRT,308.25,18.81,D
14.1091,101.24781,356.49,1.2,1.09,2022-01-24,0654,A,98,6.1NRT,309.98,81.61,D
14.25617,99.88897,329.83,1.05,1.02,2022-01-24,0654,A,81,6.1NRT,303.23,21.04,D
14.8058,100.28031,321.18,1.1,1.04,2022-01-24,0654,A,67,6.1NRT,302.98,10.76,D
14.90528,100.33166,327.22,1.1,1.05,2022-01-24,0654,A,77,6.1NRT,303.23,18.27,D
14.80445,98.41373,311.5,1,1,2022-01-24,0654,A,31,6.1NRT,301.09,5.22,D
15.12563,100.67813,332.66,1.15,1.07,2022-01-24,0654,A,82,6.1NRT,312.87,19.83,D
15.13511,100.2802,322.77,1.1,1.05,2022-01-24,0654,A,71,6.1NRT,309.97,11.01,D
15.80595,101.93388,317.12,1.38,1.16,2022-01-24,0654,A,45,6.1NRT,297.89,9.17,D
15.64326,99.54279,320.9,1.05,1.02,2022-01-24,0654,A,54,6.1NRT,305.86,8.99,D
15.90615,97.69151,320.18,1,1,2022-01-24,0654,A,43,6.1NRT,304.9,8.92,D
16.28144,99.70457,316.27,1.07,1.03,2022-01-24,0654,A,48,6.1NRT,303.24,5.47,D
15.81726,95.47295,313.54,1.19,1.08,2022-01-24,0654,A,37,6.1NRT,303.03,6.38,D
16.22248,97.96355,314.91,1,1,2022-01-24,0654,A,33,6.1NRT,302.74,4.63,D
16.33084,97.82726,318.81,1,1,2022-01-24,0654,A,69,6.1NRT,304.3,5.42,D
16.04339,95.42223,352.38,1.19,1.08,2022-01-24,0654,A,96,6.1NRT,308.05,71.41,D
16.04168,95.41129,332.95,1.19,1.08,2022-01-24,0654,A,84,6.1NRT,307.46,26.88,D
16.09873,95.52428,323.83,1.17,1.08,2022-01-24,0654,A,70,6.1NRT,308.36,10.86,D
16.09707,95.51347,324.29,1.17,1.08,2022-01-24,0654,A,73,6.1NRT,306.63,11,D
16.10093,95.51839,325.71,1.17,1.08,2022-01-24,0654,A,77,6.1NRT,308.11,15.31,D
16.85805,99.61255,319.4,1.07,1.03,2022-01-24,0654,A,46,6.1NRT,303.2,9.85,D
16.3629,96.1097,320.67,1.1,1.04,2022-01-24,0654,A,69,6.1NRT,307.3,8.18,D
16.66071,98.06891,315.98,1,1,2022-01-24,0654,A,46,6.1NRT,301.52,5.06,D
16.61811,97.7726,318.24,1,1,2022-01-24,0654,A,49,6.1NRT,304.64,5.82,D
16.3722,96.10814,345.19,1.1,1.04,2022-01-24,0654,A,92,6.1NRT,307.95,47.19,D
16.37067,96.09801,333.42,1.1,1.04,2022-01-24,0654,A,84,6.1NRT,306.43,25.5,D
16.65099,97.80906,327.5,1,1,2022-01-24,0654,A,78,6.1NRT,304.34,15.36,D
16.64965,97.7998,325.17,1,1,2022-01-24,0654,A,75,6.1NRT,304.58,12.72,D
16.74241,97.67416,323.32,1,1,2022-01-24,0654,A,73,6.1NRT,304.54,11.3,D
16.74107,97.66489,316.18,1,1,2022-01-24,0654,A,44,6.1NRT,303.19,4.46,D
16.7861,97.91375,316.84,1,1,2022-01-24,0654,A,54,6.1NRT,304.02,5.28,D
16.92855,96.31646,327.56,1.06,1.03,2022-01-24,0654,A,79,6.1NRT,307.52,15.07,D
16.92706,96.30659,320.25,1.07,1.03,2022-01-24,0654,A,60,6.1NRT,304.88,6.71,D
17.47004,99.81069,318.19,1.11,1.05,2022-01-24,0654,A,56,6.1NRT,302.64,3.98,D
17.51969,99.82448,333.56,1.11,1.05,2022-01-24,0654,A,85,6.1NRT,305.55,25.75,D
17.1326,96.214,317.45,1.07,1.03,2022-01-24,0654,A,60,6.1NRT,303.87,7.11,D
17.73711,98.58964,319.62,1.02,1.01,2022-01-24,0654,A,50,6.1NRT,306.49,8.32,D
37.12008,62.37014,304.31,1.25,1.11,2022-01-24,0654,T,59,6.1NRT,283.99,7.57,D
